Item ID,Name,Category,Quantity,Unit Price,Warehouse,Last Updated
INV-001,Laptop Pro 15,Electronics,45,1299.99,Warehouse A,2025-01-15
INV-002,Wireless Mouse,Accessories,320,29.99,Warehouse B,2025-01-20
INV-003,USB-C Hub,Accessories,150,49.99,Warehouse A,2025-02-01
INV-004,Monitor 27 inch,Electronics,28,449.99,Warehouse C,2025-01-28
INV-005,Keyboard Mechanical,Accessories,200,79.99,Warehouse B,2025-02-05
INV-006,Webcam HD,Electronics,95,69.99,Warehouse A,2025-01-10
INV-007,Desk Lamp LED,Furniture,180,34.99,Warehouse C,2025-02-10
INV-008,Standing Desk,Furniture,12,599.99,Warehouse C,2025-01-25
INV-009,Cable Management Kit,Accessories,500,14.99,Warehouse B,2025-02-15
INV-010,Noise Cancelling Headphones,Electronics,65,249.99,Warehouse A,2025-02-18
